geoid,school_id,school,sat_g11,transit_min_median
17031020601,609694,HANCOCK HS,1078.0,106.7
17031020601,609726,BROOKS HS,1111.0,114.0
17031020601,610547,SOUTH SHORE INTL HS,901.0,93.1
17031020601,610391,LINDBLOM HS,1046.0,108.2
17031020601,609751,KING HS,939.0,101.5
17031020601,609678,JONES HS,1276.0,70.9
17031020601,609755,YOUNG HS,1297.0,81.2
17031020602,609680,PAYTON HS,1334.0,64.4
17031020602,609720,LANE TECH HS,1256.0,34.4
17031020602,609749,NORTHSIDE PREP HS,1303.0,29.9
17031020602,609693,WESTINGHOUSE HS,1005.0,70.8
17031020602,609678,JONES HS,1276.0,66.9
17031020602,609694,HANCOCK HS,1078.0,105.8
17031020602,610391,LINDBLOM HS,1046.0,101.1
17031020602,610547,SOUTH SHORE INTL HS,901.0,93.6
17031020602,609726,BROOKS HS,1111.0,107.5
17031020602,609751,KING HS,939.0,98.5
17031020602,609755,YOUNG HS,1297.0,73.9
17031020701,609720,LANE TECH HS,1256.0,32.4
17031020701,609680,PAYTON HS,1334.0,62.5
17031020701,609693,WESTINGHOUSE HS,1005.0,66.4
17031020701,609749,NORTHSIDE PREP HS,1303.0,13.6
17031020701,609678,JONES HS,1276.0,66.1
17031020701,609694,HANCOCK HS,1078.0,102.2
17031020701,610391,LINDBLOM HS,1046.0,103.0
17031020701,609726,BROOKS HS,1111.0,105.7
17031020701,610547,SOUTH SHORE INTL HS,901.0,91.3
17031020701,609755,YOUNG HS,1297.0,72.7
17031020701,609751,KING HS,939.0,99.9
17031020702,609680,PAYTON HS,1334.0,63.6
17031020702,609720,LANE TECH HS,1256.0,38.6
17031020702,609693,WESTINGHOUSE HS,1005.0,63.3
17031020702,609749,NORTHSIDE PREP HS,1303.0,23.4
17031020702,609694,HANCOCK HS,1078.0,105.0
17031020702,609678,JONES HS,1276.0,65.7
17031020702,609726,BROOKS HS,1111.0,105.3
17031020702,610391,LINDBLOM HS,1046.0,102.8
17031020702,609751,KING HS,939.0,99.8
17031020702,610547,SOUTH SHORE INTL HS,901.0,90.9
17031020702,609755,YOUNG HS,1297.0,79.3
17031020801,609680,PAYTON HS,1334.0,58.8
17031020801,609749,NORTHSIDE PREP HS,1303.0,21.4
17031020801,609720,LANE TECH HS,1256.0,31.2
17031020801,609693,WESTINGHOUSE HS,1005.0,66.3
17031020801,609678,JONES HS,1276.0,61.1
17031020801,610391,LINDBLOM HS,1046.0,96.7
17031020801,609694,HANCOCK HS,1078.0,100.0
17031020801,609726,BROOKS HS,1111.0,100.8
17031020801,610547,SOUTH SHORE INTL HS,901.0,86.3
17031020801,609751,KING HS,939.0,94.0
17031020801,609755,YOUNG HS,1297.0,71.3
17031020802,609749,NORTHSIDE PREP HS,1303.0,25.6
17031020802,609680,PAYTON HS,1334.0,59.5
17031020802,609720,LANE TECH HS,1256.0,33.4
17031020802,609693,WESTINGHOUSE HS,1005.0,67.9
17031020802,609678,JONES HS,1276.0,61.6
17031020802,609694,HANCOCK HS,1078.0,100.7
17031020802,610391,LINDBLOM HS,1046.0,98.4
17031020802,610547,SOUTH SHORE INTL HS,901.0,86.8
17031020802,609726,BROOKS HS,1111.0,101.2
17031020802,609751,KING HS,939.0,95.7
17031020802,609755,YOUNG HS,1297.0,71.9
17031020901,609680,PAYTON HS,1334.0,58.8
17031020901,609720,LANE TECH HS,1256.0,33.2
17031020901,609749,NORTHSIDE PREP HS,1303.0,30.4
17031020901,609678,JONES HS,1276.0,60.9
17031020901,609726,BROOKS HS,1111.0,102.9
17031020901,609693,WESTINGHOUSE HS,1005.0,71.2
17031020901,610547,SOUTH SHORE INTL HS,901.0,86.3
17031020901,609751,KING HS,939.0,93.4
17031020901,610391,LINDBLOM HS,1046.0,97.5
17031020901,609694,HANCOCK HS,1078.0,99.7
17031020901,609755,YOUNG HS,1297.0,73.5
17031020902,609680,PAYTON HS,1334.0,54.9
17031020902,609749,NORTHSIDE PREP HS,1303.0,31.6
17031020902,609720,LANE TECH HS,1256.0,39.5
17031020902,609678,JONES HS,1276.0,57.0
17031020902,609693,WESTINGHOUSE HS,1005.0,73.6
17031020902,609726,BROOKS HS,1111.0,98.6
17031020902,609751,KING HS,939.0,91.4
17031020902,610547,SOUTH SHORE INTL HS,901.0,88.4
17031020902,609694,HANCOCK HS,1078.0,97.5
17031020902,610391,LINDBLOM HS,1046.0,95.9
17031020902,609755,YOUNG HS,1297.0,70.2
17031030101,609680,PAYTON HS,1334.0,42.6
17031030101,609678,JONES HS,1276.0,45.4
17031030101,609749,NORTHSIDE PREP HS,1303.0,41.7
17031030101,609694,HANCOCK HS,1078.0,83.7
17031030101,609720,LANE TECH HS,1256.0,39.4
17031030101,609726,BROOKS HS,1111.0,85.0
17031030101,610547,SOUTH SHORE INTL HS,901.0,66.2
17031030101,609751,KING HS,939.0,72.8
17031030101,609693,WESTINGHOUSE HS,1005.0,76.5
17031030101,610391,LINDBLOM HS,1046.0,81.6
17031030101,609755,YOUNG HS,1297.0,63.6
17031030102,609680,PAYTON HS,1334.0,43.1
17031030102,609678,JONES HS,1276.0,47.7
17031030102,609749,NORTHSIDE PREP HS,1303.0,42.0
17031030102,609720,LANE TECH HS,1256.0,41.8
17031030102,609726,BROOKS HS,1111.0,87.3
17031030102,609694,HANCOCK HS,1078.0,85.4
17031030102,609751,KING HS,939.0,73.3
17031030102,610547,SOUTH SHORE INTL HS,901.0,66.8
17031030102,609693,WESTINGHOUSE HS,1005.0,75.4
17031030102,610391,LINDBLOM HS,1046.0,84.2
17031030102,609755,YOUNG HS,1297.0,64.3
17031030103,609680,PAYTON HS,1334.0,45.3
17031030103,609678,JONES HS,1276.0,48.2
17031030103,609726,BROOKS HS,1111.0,87.8
17031030103,609694,HANCOCK HS,1078.0,86.6
17031030103,609749,NORTHSIDE PREP HS,1303.0,43.8
17031030103,609720,LANE TECH HS,1256.0,42.3
17031030103,609751,KING HS,939.0,75.6
17031030103,610547,SOUTH SHORE INTL HS,901.0,69.1
17031030103,609693,WESTINGHOUSE HS,1005.0,79.3
17031030103,610391,LINDBLOM HS,1046.0,84.7
17031030103,609755,YOUNG HS,1297.0,66.5
17031030104,609680,PAYTON HS,1334.0,45.7
17031030104,609678,JONES HS,1276.0,49.0
17031030104,609749,NORTHSIDE PREP HS,1303.0,44.1
17031030104,609726,BROOKS HS,1111.0,88.6
17031030104,609720,LANE TECH HS,1256.0,43.0
17031030104,609694,HANCOCK HS,1078.0,86.0
17031030104,609751,KING HS,939.0,76.0
17031030104,610547,SOUTH SHORE INTL HS,901.0,69.5
17031030104,609693,WESTINGHOUSE HS,1005.0,79.7
17031030104,610391,LINDBLOM HS,1046.0,85.4
