geoid,school_id,school,sat_g11,drive_min,drive_mi
17031020500,610547,SOUTH SHORE INTL HS,901.0,35.9,20.66
17031020601,609678,JONES HS,1276.0,21.7,10.94
17031020601,609680,PAYTON HS,1334.0,17.3,8.49
17031020601,609693,WESTINGHOUSE HS,1005.0,19.4,9.12
17031020601,609694,HANCOCK HS,1078.0,32.1,16.2
17031020601,609720,LANE TECH HS,1256.0,8.5,4.24
17031020601,609726,BROOKS HS,1111.0,38.2,23.5
17031020601,609749,NORTHSIDE PREP HS,1303.0,4.5,1.98
17031020601,609751,KING HS,939.0,28.6,15.88
17031020601,609755,YOUNG HS,1297.0,19.2,9.62
17031020601,610391,LINDBLOM HS,1046.0,32.7,19.14
17031020601,610547,SOUTH SHORE INTL HS,901.0,35.3,20.79
17031020602,609678,JONES HS,1276.0,23.0,11.31
17031020602,609680,PAYTON HS,1334.0,18.7,8.86
17031020602,609693,WESTINGHOUSE HS,1005.0,21.0,9.57
17031020602,609694,HANCOCK HS,1078.0,33.6,16.65
17031020602,609720,LANE TECH HS,1256.0,9.8,4.61
17031020602,609726,BROOKS HS,1111.0,39.5,23.87
17031020602,609749,NORTHSIDE PREP HS,1303.0,6.0,2.43
17031020602,609751,KING HS,939.0,29.9,16.25
17031020602,609755,YOUNG HS,1297.0,20.5,9.99
17031020602,610391,LINDBLOM HS,1046.0,34.1,19.51
17031020602,610547,SOUTH SHORE INTL HS,901.0,36.6,21.16
17031020701,609678,JONES HS,1276.0,20.3,10.21
17031020701,609680,PAYTON HS,1334.0,15.9,7.75
17031020701,609693,WESTINGHOUSE HS,1005.0,17.7,7.87
17031020701,609694,HANCOCK HS,1078.0,30.4,14.94
17031020701,609720,LANE TECH HS,1256.0,7.1,3.51
17031020701,609726,BROOKS HS,1111.0,36.8,22.76
17031020701,609749,NORTHSIDE PREP HS,1303.0,2.4,0.73
17031020701,609751,KING HS,939.0,27.2,15.14
17031020701,609755,YOUNG HS,1297.0,17.8,8.88
17031020701,610391,LINDBLOM HS,1046.0,31.4,18.4
17031020701,610547,SOUTH SHORE INTL HS,901.0,33.9,20.05
17031020702,609678,JONES HS,1276.0,21.5,10.63
17031020702,609680,PAYTON HS,1334.0,17.1,8.18
17031020702,609693,WESTINGHOUSE HS,1005.0,19.2,8.35
17031020702,609694,HANCOCK HS,1078.0,31.3,15.31
17031020702,609720,LANE TECH HS,1256.0,8.3,3.93
17031020702,609726,BROOKS HS,1111.0,38.0,23.18
17031020702,609749,NORTHSIDE PREP HS,1303.0,3.9,1.21
17031020702,609751,KING HS,939.0,28.4,15.56
17031020702,609755,YOUNG HS,1297.0,19.0,9.3
17031020702,610391,LINDBLOM HS,1046.0,32.6,18.83
17031020702,610547,SOUTH SHORE INTL HS,901.0,35.1,20.47
17031020801,609678,JONES HS,1276.0,19.9,9.77
17031020801,609680,PAYTON HS,1334.0,15.5,7.32
17031020801,609693,WESTINGHOUSE HS,1005.0,18.0,7.95
17031020801,609694,HANCOCK HS,1078.0,31.0,15.34
17031020801,609720,LANE TECH HS,1256.0,6.7,3.07
17031020801,609726,BROOKS HS,1111.0,36.4,22.33
17031020801,609749,NORTHSIDE PREP HS,1303.0,3.2,1.13
17031020801,609751,KING HS,939.0,26.8,14.71
17031020801,609755,YOUNG HS,1297.0,17.4,8.45
17031020801,610391,LINDBLOM HS,1046.0,31.0,17.97
17031020801,610547,SOUTH SHORE INTL HS,901.0,33.5,19.62
17031020802,609678,JONES HS,1276.0,21.0,10.36
17031020802,609680,PAYTON HS,1334.0,16.6,7.91
17031020802,609693,WESTINGHOUSE HS,1005.0,19.0,8.77
17031020802,609694,HANCOCK HS,1078.0,31.7,15.84
17031020802,609720,LANE TECH HS,1256.0,7.8,3.66
17031020802,609726,BROOKS HS,1111.0,37.5,22.92
17031020802,609749,NORTHSIDE PREP HS,1303.0,4.1,1.63
17031020802,609751,KING HS,939.0,27.9,15.3
17031020802,609755,YOUNG HS,1297.0,18.5,9.04
17031020802,610391,LINDBLOM HS,1046.0,32.0,18.56
17031020802,610547,SOUTH SHORE INTL HS,901.0,34.6,20.21
17031020901,609678,JONES HS,1276.0,20.9,10.34
17031020901,609680,PAYTON HS,1334.0,16.6,7.89
17031020901,609693,WESTINGHOUSE HS,1005.0,19.0,8.52
17031020901,609694,HANCOCK HS,1078.0,32.3,18.01
17031020901,609720,LANE TECH HS,1256.0,7.8,3.64
17031020901,609726,BROOKS HS,1111.0,37.5,22.9
17031020901,609749,NORTHSIDE PREP HS,1303.0,4.9,2.1
17031020901,609751,KING HS,939.0,27.9,15.27
17031020901,609755,YOUNG HS,1297.0,18.4,9.01
17031020901,610391,LINDBLOM HS,1046.0,32.0,18.54
17031020901,610547,SOUTH SHORE INTL HS,901.0,34.5,20.18
17031020902,609678,JONES HS,1276.0,20.8,10.39
17031020902,609680,PAYTON HS,1334.0,16.1,7.69
17031020902,609693,WESTINGHOUSE HS,1005.0,19.8,9.63
17031020902,609694,HANCOCK HS,1078.0,31.9,15.78
17031020902,609720,LANE TECH HS,1256.0,9.0,4.01
17031020902,609726,BROOKS HS,1111.0,37.6,22.77
17031020902,609749,NORTHSIDE PREP HS,1303.0,6.0,2.46
17031020902,609751,KING HS,939.0,28.0,15.15
17031020902,609755,YOUNG HS,1297.0,18.1,8.45
17031020902,610391,LINDBLOM HS,1046.0,32.1,18.41
17031020902,610547,SOUTH SHORE INTL HS,901.0,34.6,20.06
17031030101,609678,JONES HS,1276.0,18.4,9.37
17031030101,609680,PAYTON HS,1334.0,14.3,7.07
17031030101,609693,WESTINGHOUSE HS,1005.0,20.8,10.45
17031030101,609694,HANCOCK HS,1078.0,33.0,16.01
17031030101,609720,LANE TECH HS,1256.0,10.9,5.57
17031030101,609726,BROOKS HS,1111.0,38.3,23.25
17031030101,609749,NORTHSIDE PREP HS,1303.0,9.2,4.39
17031030101,609751,KING HS,939.0,26.6,13.63
17031030101,609755,YOUNG HS,1297.0,19.2,8.68
17031030101,610391,LINDBLOM HS,1046.0,32.8,18.89
17031030101,610547,SOUTH SHORE INTL HS,901.0,33.9,17.43
17031030102,609678,JONES HS,1276.0,18.6,9.52
17031030102,609680,PAYTON HS,1334.0,14.5,7.21
17031030102,609693,WESTINGHOUSE HS,1005.0,20.9,10.59
17031030102,609694,HANCOCK HS,1078.0,33.2,16.15
17031030102,609720,LANE TECH HS,1256.0,11.0,5.71
17031030102,609726,BROOKS HS,1111.0,38.5,23.39
17031030102,609749,NORTHSIDE PREP HS,1303.0,8.7,4.22
17031030102,609751,KING HS,939.0,26.7,13.77
17031030102,609755,YOUNG HS,1297.0,19.3,8.82
17031030102,610391,LINDBLOM HS,1046.0,33.0,19.03
17031030102,610547,SOUTH SHORE INTL HS,901.0,34.1,17.57
17031030103,609678,JONES HS,1276.0,18.7,9.64
17031030103,609680,PAYTON HS,1334.0,14.6,7.34
17031030103,609693,WESTINGHOUSE HS,1005.0,21.0,10.51
17031030103,609694,HANCOCK HS,1078.0,33.2,16.67
17031030103,609720,LANE TECH HS,1256.0,11.1,5.62
17031030103,609726,BROOKS HS,1111.0,38.6,23.52
17031030103,609749,NORTHSIDE PREP HS,1303.0,8.3,4.06
17031030103,609751,KING HS,939.0,26.8,13.9
17031030103,609755,YOUNG HS,1297.0,19.3,9.34
17031030103,610391,LINDBLOM HS,1046.0,33.1,19.16
17031030103,610547,SOUTH SHORE INTL HS,901.0,34.2,17.7
17031030104,609678,JONES HS,1276.0,19.6,9.82
17031030104,609680,PAYTON HS,1334.0,15.5,7.51
17031030104,609693,WESTINGHOUSE HS,1005.0,21.7,10.56
17031030104,609694,HANCOCK HS,1078.0,33.9,16.72
17031030104,609720,LANE TECH HS,1256.0,11.8,5.67
17031030104,609726,BROOKS HS,1111.0,39.5,23.69
17031030104,609749,NORTHSIDE PREP HS,1303.0,9.0,4.11
17031030104,609751,KING HS,939.0,27.7,14.08
17031030104,609755,YOUNG HS,1297.0,20.0,9.39
17031030104,610391,LINDBLOM HS,1046.0,34.0,19.33
17031030104,610547,SOUTH SHORE INTL HS,901.0,35.1,17.87
17031030200,609678,JONES HS,1276.0,20.3,9.95
17031030200,609680,PAYTON HS,1334.0,15.8,7.63
17031030200,609693,WESTINGHOUSE HS,1005.0,19.5,9.56
17031030200,609694,HANCOCK HS,1078.0,31.7,15.72
17031030200,609720,LANE TECH HS,1256.0,9.6,4.67
